2019-07-15 17:21:14,941 [  12456]   INFO - il.indexing.FileBasedIndexImpl - Index exts enumerated:234, number of extensions:48 
2019-07-15 17:21:14,945 [  12460]   INFO - il.indexing.FileBasedIndexImpl - Index scheduled:4 
2019-07-15 17:21:14,962 [  12477]   INFO - il.indexing.FileBasedIndexImpl - Index FilenameIndex will be built. 
2019-07-15 17:21:14,997 [  12512]   INFO - tellij.psi.stubs.StubIndexImpl - All stub exts enumerated:50, number of extensions:69 
2019-07-15 17:21:14,998 [  12513]   INFO - tellij.psi.stubs.StubIndexImpl - stub exts update scheduled:0 
2019-07-15 17:21:15,005 [  12520]   INFO - il.indexing.FileBasedIndexImpl - Index filetypes will be built. 
2019-07-15 17:21:15,007 [  12522]   INFO - il.indexing.FileBasedIndexImpl - Index java.auto.module.name will be built. 
2019-07-15 17:21:15,010 [  12525]   INFO - il.indexing.FileBasedIndexImpl - Index GroovyDslFileIndex will be built. 
2019-07-15 17:21:15,018 [  12533]   INFO - il.indexing.FileBasedIndexImpl - Index FrameworkDetectionIndex will be built. 
2019-07-15 17:21:15,036 [  12551]   INFO - il.indexing.FileBasedIndexImpl - Index TodoIndex will be built. 
2019-07-15 17:21:15,449 [  12964]   INFO - il.indexing.FileBasedIndexImpl - Index IdIndex will be built. 
2019-07-15 17:21:15,452 [  12967]   INFO - il.indexing.FileBasedIndexImpl - Index Stubs will be built. 
2019-07-15 17:21:15,690 [  13205]   INFO - ij.psi.stubs.StubUpdatingIndex - Following new file types will be indexed:Scala,sbt,Groovy,Properties,DGM File Type,KNM,KJSM,HTML,Kotlin,XML,JAVA,CLASS,kotlin_builtins 
2019-07-15 17:21:15,775 [  13290]   INFO - j.ide.ui.OptionsTopHitProvider - 1451 ms spent to cache options in application 
2019-07-15 17:21:15,776 [  13291]   INFO - .openapi.application.Preloader - com.intellij.ide.ui.OptionsTopHitProvider$Activity took 1451 ms 
2019-07-15 17:21:15,891 [  13406]   INFO - il.indexing.FileBasedIndexImpl - Index Trigram.Index will be built. 
2019-07-15 17:21:15,897 [  13412]   INFO - il.indexing.FileBasedIndexImpl - Index fileIncludes will be built. 
2019-07-15 17:21:15,901 [  13416]   INFO - il.indexing.FileBasedIndexImpl - Index DomFileIndex will be built. 
2019-07-15 17:21:15,903 [  13418]   INFO - il.indexing.FileBasedIndexImpl - Index RelaxSymbolIndex will be built. 
2019-07-15 17:21:15,909 [  13424]   INFO - il.indexing.FileBasedIndexImpl - Index XmlTagNames will be built. 
2019-07-15 17:21:15,911 [  13426]   INFO - il.indexing.FileBasedIndexImpl - Index XmlNamespaces will be built. 
2019-07-15 17:21:15,914 [  13429]   INFO - il.indexing.FileBasedIndexImpl - Index html5.custom.attributes.index will be built. 
2019-07-15 17:21:15,919 [  13434]   INFO - il.indexing.FileBasedIndexImpl - Index SchemaTypeInheritance will be built. 
2019-07-15 17:21:15,924 [  13439]   INFO - il.indexing.FileBasedIndexImpl - Index json.file.root.values will be built. 
2019-07-15 17:21:15,934 [  13449]   INFO - il.indexing.FileBasedIndexImpl - Index ImageFileInfoIndex will be built. 
2019-07-15 17:21:15,936 [  13451]   INFO - il.indexing.FileBasedIndexImpl - Index bytecodeAnalysis will be built. 
2019-07-15 17:21:15,940 [  13455]   INFO - il.indexing.FileBasedIndexImpl - Index java.null.method.argument will be built. 
2019-07-15 17:21:15,944 [  13459]   INFO - il.indexing.FileBasedIndexImpl - Index java.simple.property will be built. 
2019-07-15 17:21:15,946 [  13461]   INFO - il.indexing.FileBasedIndexImpl - Index java.fun.expression will be built. 
2019-07-15 17:21:15,946 [  13461]   INFO - pi.util.registry.RegistryValue - Registry value 'SBT.system.in.process' has changed to 'true' 
2019-07-15 17:21:15,948 [  13463]   INFO - pi.util.registry.RegistryValue - Registry value 'BSP.experimental.feature.enabled' has changed to 'false' 
2019-07-15 17:21:15,948 [  13463]   INFO - pi.util.registry.RegistryValue - Registry value 'BSP.system.in.process' has changed to 'true' 
2019-07-15 17:21:15,948 [  13463]   INFO - plication.impl.ApplicationImpl - 84 application components initialized in 3907ms 
2019-07-15 17:21:15,949 [  13464]   INFO - il.indexing.FileBasedIndexImpl - Index java.binary.plus.expression will be built. 
